stationID	year	month	day	hour	temperature	relativeHumidity
Nakuru	2015	1	1	0	13	67
Nakuru	2015	1	1	1	12.33333333	69
Nakuru	2015	1	1	2	11.66666667	71
Nakuru	2015	1	1	3	11	73
Nakuru	2015	1	1	4	10	82
Nakuru	2015	1	1	5	13.5	63.5
Nakuru	2015	1	1	6	17	45
Nakuru	2015	1	1	7	21	40
Nakuru	2015	1	1	8	24	29
Nakuru	2015	1	1	9	25	28.5
Nakuru	2015	1	1	10	26	28
Nakuru	2015	1	1	11	27	30
Nakuru	2015	1	1	12	27	32
Nakuru	2015	1	1	13	27	32
Nakuru	2015	1	1	14	27	32
Nakuru	2015	1	1	15	25	39
Nakuru	2015	1	1	16	17	77
Nakuru	2015	1	1	17	18.5	61.5
Nakuru	2015	1	1	18	20	46
Nakuru	2015	1	1	19	20	46
Nakuru	2015	1	1	20	18	45
Nakuru	2015	1	1	21	17	48.5
Nakuru	2015	1	1	22	16	52
Nakuru	2015	1	1	23	14.66666667	54
Nakuru	2015	1	2	0	13.33333333	56
Nakuru	2015	1	2	1	12	58
Nakuru	2015	1	2	2	11	67
Nakuru	2015	1	2	3	10	69
Nakuru	2015	1	2	4	9	71
Nakuru	2015	1	2	5	12	67
Nakuru	2015	1	2	6	17	55
Nakuru	2015	1	2	7	20	44
Nakuru	2015	1	2	8	23	33
Nakuru	2015	1	2	9	25	39
Nakuru	2015	1	2	10	26	42
Nakuru	2015	1	2	11	27	23
Nakuru	2015	1	2	12	27	18
Nakuru	2015	1	2	13	28	19
Nakuru	2015	1	2	14	27	19.5
Nakuru	2015	1	2	15	26	20
Nakuru	2015	1	2	16	24.33333333	21.66666667
Nakuru	2015	1	2	17	22.66666667	23.33333333
Nakuru	2015	1	2	18	21	25
Nakuru	2015	1	2	19	19	40
Nakuru	2015	1	2	20	17.5	44
Nakuru	2015	1	2	21	16	48
Nakuru	2015	1	2	22	15	45
Nakuru	2015	1	2	23	14	50.5
Nakuru	2015	1	3	0	13	56
Nakuru	2015	1	3	1	11	67
Nakuru	2015	1	3	2	11.75	65
Nakuru	2015	1	3	3	12.5	63
Nakuru	2015	1	3	4	13.25	61
Nakuru	2015	1	3	5	14	59
Nakuru	2015	1	3	6	17	34
Nakuru	2015	1	3	7	20	43
Nakuru	2015	1	3	8	22.5	33.5
Nakuru	2015	1	3	9	25	24
Nakuru	2015	1	3	10	27	18
Nakuru	2015	1	3	11	27.5	15
Nakuru	2015	1	3	12	28	12
Nakuru	2015	1	3	13	28	19
Nakuru	2015	1	3	14	27	21
Nakuru	2015	1	3	15	26	23
Nakuru	2015	1	3	16	25	26
Nakuru	2015	1	3	17	24	29
Nakuru	2015	1	3	18	22	17
Nakuru	2015	1	3	19	20	33
Nakuru	2015	1	3	20	18	49
Nakuru	2015	1	3	21	16	52
Nakuru	2015	1	3	22	15	55.5
Nakuru	2015	1	3	23	14	59
Nakuru	2015	1	4	0	12	62
Nakuru	2015	1	4	1	11.5	69
Nakuru	2015	1	4	2	11	76
Nakuru	2015	1	4	3	12.33333333	70.33333333
Nakuru	2015	1	4	4	13.66666667	64.66666667
Nakuru	2015	1	4	5	15	59
Nakuru	2015	1	4	6	16	40
Nakuru	2015	1	4	7	20	43
Nakuru	2015	1	4	8	23	31
Nakuru	2015	1	4	9	26	18
Nakuru	2015	1	4	10	26.66666667	15.66666667
Nakuru	2015	1	4	11	27.33333333	13.33333333
Nakuru	2015	1	4	12	28	11
Nakuru	2015	1	4	13	28	15.5
Nakuru	2015	1	4	14	28	20
Nakuru	2015	1	4	15	26	20
Nakuru	2015	1	4	16	23	31
Nakuru	2015	1	4	17	22	33
Nakuru	2015	1	4	18	21	37
Nakuru	2015	1	4	19	20	56
Nakuru	2015	1	4	20	19	56
Nakuru	2015	1	4	21	18	32
Nakuru	2015	1	4	22	17	48
Nakuru	2015	1	4	23	16	52
Nakuru	2015	1	5	0	14	48
Nakuru	2015	1	5	1	13	58
Nakuru	2015	1	5	2	12	67
Nakuru	2015	1	5	3	12	58
Nakuru	2015	1	5	4	11	71
Nakuru	2015	1	5	5	14	59
Nakuru	2015	1	5	6	18	36
Nakuru	2015	1	5	7	21	40
Nakuru	2015	1	5	8	24	22
Nakuru	2015	1	5	9	25	11
Nakuru	2015	1	5	10	26	17
Nakuru	2015	1	5	11	26	18
Nakuru	2015	1	5	12	27	10
Nakuru	2015	1	5	13	26	20
Nakuru	2015	1	5	14	26	20
Nakuru	2015	1	5	15	25	12
Nakuru	2015	1	5	16	23	23
Nakuru	2015	1	5	17	23	23
Nakuru	2015	1	5	18	22	23
Nakuru	2015	1	5	19	21	35
Nakuru	2015	1	5	20	21	33
Nakuru	2015	1	5	21	20	27
Nakuru	2015	1	5	22	18	42
Nakuru	2015	1	5	23	18	45
Nakuru	2015	1	6	0	16	42
Nakuru	2015	1	6	1	16	55
Nakuru	2015	1	6	2	15	59
Nakuru	2015	1	6	3	15	51
Nakuru	2015	1	6	4	13	77
Nakuru	2015	1	6	5	15	67
Nakuru	2015	1	6	6	17	63.5
Nakuru	2015	1	6	7	19	60
Nakuru	2015	1	6	8	24	34
Nakuru	2015	1	6	9	25	14
Nakuru	2015	1	6	10	25	21
Nakuru	2015	1	6	11	26	24
Nakuru	2015	1	6	12	27	15
Nakuru	2015	1	6	13	25	28
Nakuru	2015	1	6	14	25	28
Nakuru	2015	1	6	15	24	19
Nakuru	2015	1	6	16	23	33
Nakuru	2015	1	6	17	22	38
Nakuru	2015	1	6	18	22	22
Nakuru	2015	1	6	19	21	49
Nakuru	2015	1	6	20	20	56
Nakuru	2015	1	6	21	20	45
Nakuru	2015	1	6	22	19	60
Nakuru	2015	1	6	23	19	60
Nakuru	2015	1	7	0	15	42
